CondRecNo.	Material	Material Number	Amount	Valid From	Valid to	SOrg.	DChl
0000181143	000000000010217551	BROKEN HILL (DVD) OTH	74.06	16.05.2011	30.11.2011	101	10
0000181144	000000000010217565	FROZEN (DVD) OTH	74.06	16.05.2011	30.11.2011	101	10
0000181145	000000000010217552	HURRICANE SEASON (DVD) OTH	44.42	16.05.2011	31.12.9999	101	10
0000181146	000000000010217550	POUND OF FLESH (DVD) OTH	44.42	16.05.2011	31.12.9999	101	10
0000181147	000000000010217564	BEARCITY (DVD) OTH	74.06	16.05.2011	30.11.2011	101	10
0000181148	000000000010217562	TEXTUALITY (DVD) OTH	44.42	16.05.2011	31.12.9999	101	10
0000181149	000000000010217563	HOW TO MAKE LOVE TO A WOMAN (DVD) OTH	44.42	16.05.2011	31.12.9999	101	10
0000181150	000000000010217775	THOR: TALES OF ASGARD (DVD) OTH	74.06	16.05.2011	30.11.2011	101	10
0000181151	000000000010218670	DISNEY JUNIOR: SURPRISE PARTY (DVD) WD	59.25	16.05.2011	31.12.9999	101	10
0000181152	000000000010218672	MMC: MINNIE'S MASQUERADE (DVD) WD	59.25	16.05.2011	31.12.9999	101	10
0000181153	000000000010218671	MMC: ROAD RALLY (DVD) WD	59.25	16.05.2011	31.12.9999	101	10
0000181154	000000000010217549	TRUE JUSTICE-DEADLY CROSSING (DVD) OTH	74.06	01.06.2011	30.11.2011	101	11
0000181155	000000000010217548	UNKNOWN (DVD) OTH	74.06	01.06.2011	30.11.2011	101	11
0000181156	000000000010217551	BROKEN HILL (DVD) OTH	74.06	01.06.2011	30.11.2011	101	11
0000181157	000000000010217565	FROZEN (DVD) OTH	74.06	01.06.2011	30.11.2011	101	11
0000181158	000000000010217552	HURRICANE SEASON (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181159	000000000010217550	POUND OF FLESH (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181160	000000000010217564	BEARCITY (DVD) OTH	74.06	01.06.2011	30.11.2011	101	11
0000181161	000000000010217562	TEXTUALITY (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181162	000000000010217563	HOW TO MAKE LOVE TO A WOMAN (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181163	000000000010217775	THOR: TALES OF ASGARD (DVD) OTH	74.06	01.06.2011	30.11.2011	101	11
0000181164	000000000010217561	KING'S SPEECH, THE (DVD) OTH	118.50	01.06.2011	30.11.2011	101	11
0000181165	000000000010218049	HANDY MANNY: BIG RACE (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
