CondRecNo.	Material	Material Number	Amount	Valid From	Valid to	SOrg.	DChl
0000181166	000000000010218255	HANDY MANNY: MANNY'S BIRTHDAY PARTY(DVD)	44.42	23.05.2011	31.07.2011	101	10
0000181167	000000000010218048	HANDY MANNY: GREEN TEAM (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181168	000000000010218051	HANDY MANNY: MOTORCYCLE ADVENTURE(DVD)WD	44.42	23.05.2011	31.07.2011	101	10
0000181169	000000000010218050	HANDY MANNY: MOVIE NIGHT (DVD)WD	44.42	23.05.2011	31.07.2011	101	10
0000181170	000000000010218271	LITTLE EINSTEINS VOL 1. MISSION (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181171	000000000010218102	LITTLE EINSTEINS VOL 2. TEAM UP (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181172	000000000010218105	LITTLE EINSTEINS: ANIMAL EXPEDIT(DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181173	000000000010218104	LITTLE EINSTEINS: GO TO AFRICA (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181174	000000000010218103	LITTLE EINSTEINS : GO TO EUROPE (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181175	000000000010218261	LITTLE EINSTEINS: OH YES, IT'S SP(DVD) W	44.42	23.05.2011	31.07.2011	101	10
0000181176	000000000010218100	LITTLE EINSTEINS RACE FOR SPACE (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181177	000000000010218101	LITTLE EINSTEINS ROCKET'S FIREBIRD(DVD)W	44.42	23.05.2011	31.07.2011	101	10
0000181178	000000000010218119	MMC: CHOO-CHOO EXPRESS (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181179	000000000010218114	MMC: DETECTIVE MINNIE (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181180	000000000010218115	MMC: MICKEY&DONALD'S BIG BALOON (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181181	000000000010218118	MMC: MICKEY SAVES SANTA (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181182	000000000010218112	MMC: MICKEY'S ADV IN WONDERLAND (DVD)WD	44.42	23.05.2011	31.07.2011	101	10
0000181183	000000000010218113	MMC: BIG SPLASH(DVD)WD	44.42	23.05.2011	31.07.2011	101	10
0000181184	000000000010218116	MMC: MICKEY'S COLOR ADVENTURE (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181185	000000000010218339	MMC: MICKEY'S GREAT CLUBHOUSE HUN(DVD)WD	44.42	23.05.2011	31.07.2011	101	10
0000181186	000000000010218274	MMC: MICKEY'S GREAT OUTDOORS (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
0000181187	000000000010218120	MMC: MICKEY'S MESSAGE FROM MARS (DVD) WD	44.42	23.05.2011	31.07.2011	101	10
