SOrg.	DChl	Material	Material Number	Clt	MTyp	EAN/UPC	Plnt
101	10	000000000000009127	YOU MUST BE JOKING 1 - (DVD)OTH	X	ZDVD	6004416056655	111
101	11	000000000000009127	YOU MUST BE JOKING 1 - (DVD)OTH	X	ZDVD	6004416056655	111
101	10	000000000000009128	OH SCHUCKS IT'S UNTAG - (DVD) OTH	X	ZDVD	6004416056648	111
101	11	000000000000009128	OH SCHUCKS IT'S UNTAG - (DVD) OTH	X	ZDVD	6004416056648	111
101	10	000000000000009145	BEHIND BEDROOM DOORS (DVD) OTH	X	ZDVD	6004416058802	111
101	11	000000000000009145	BEHIND BEDROOM DOORS (DVD) OTH	X	ZDVD	6004416058802	111
101	10	000000000000009172	BUFFALO SOLDIERS (DVD) OTH	X	ZDVD	6004416056815	111
101	11	000000000000009172	BUFFALO SOLDIERS (DVD) OTH	X	ZDVD	6004416056815	111
101	10	000000000000009173	BUTTERFLY MAN (DVD)OTH	X	ZDVD	6004416056822	111
101	11	000000000000009173	BUTTERFLY MAN (DVD)OTH	X	ZDVD	6004416056822	111
101	10	000000000000009174	HUMAN STAIN  (DVD)OTH	X	ZDVD	6004416056846	111
101	11	000000000000009174	HUMAN STAIN  (DVD)OTH	X	ZDVD	6004416056846	111
101	10	000000000000009175	YOUNG ADAM (DVD)OTH	X	ZDVD	6004416056853	111
101	11	000000000000009175	YOUNG ADAM (DVD)OTH	X	ZDVD	6004416056853	111
101	10	000000000000009182	HE SEE'S YOU WHEN YOU'RE SLEEPING(DVD)OT	X	ZDVD	6004416058901	111
101	11	000000000000009182	HE SEE'S YOU WHEN YOU'RE SLEEPING(DVD)OT	X	ZDVD	6004416058901	111
101	10	000000000000009184	HOLLOW ,THE (DVD) OTH	X	ZDVD	6004416056891	111
101	11	000000000000009184	HOLLOW ,THE (DVD) OTH	X	ZDVD	6004416056891	111
101	10	000000000000009185	MOVING MALCOLM (DVD) OTH	X	ZDVD	6004416056945	111
101	11	000000000000009185	MOVING MALCOLM (DVD) OTH	X	ZDVD	6004416056945	111
101	10	000000000000009186	ADVENTURES OF TOM THUMB&THUMBERLINA(DVD)	X	ZDVD	6004416056952	111
101	11	000000000000009186	ADVENTURES OF TOM THUMB&THUMBERLINA(DVD)	X	ZDVD	6004416056952	111
101	10	000000000000009192	PROMISE KEPT ,A (DVD)OTH	X	ZDVD	6004416056976	111
101	11	000000000000009192	PROMISE KEPT ,A (DVD)OTH	X	ZDVD	6004416056976	111
101	10	000000000000009202	GOSPEL OF JOHN ,THE (DVD) OTH	X	ZDVD	6004416058758	111
101	11	000000000000009202	GOSPEL OF JOHN ,THE (DVD) OTH	X	ZDVD	6004416058758	111
101	10	000000000000009231	JOB ,THE (DVD) OTH	X	ZDVD	6004416058871	111
101	11	000000000000009231	JOB ,THE (DVD) OTH	X	ZDVD	6004416058871	111
101	10	000000000000009232	BAY OF LOVE & SORROWS (DVD)OTH	X	ZDVD	6004416058796	111
101	11	000000000000009232	BAY OF LOVE & SORROWS (DVD)OTH	X	ZDVD	6004416058796	111
101	10	000000000000009233	CRIME OF PASSION , A (DVD) OTH	X	ZDVD	6004416058826	111
101	11	000000000000009233	CRIME OF PASSION , A (DVD) OTH	X	ZDVD	6004416058826	111
101	10	000000000000009236	OH SCHUCKS I'M GATVOL (DVD) OTH		ZDVD	6004416058949	111
101	11	000000000000009236	OH SCHUCKS I'M GATVOL (DVD) OTH		ZDVD	6004416058949	111
101	10	000000000000009237	SHATTERED GLASS (DVD) OTH	X	ZDVD	6004416058888	111
101	11	000000000000009237	SHATTERED GLASS (DVD) OTH	X	ZDVD	6004416058888	111
101	10	000000000000009241	PANIC MECHANIC - (DVD)OTH	X	ZDVD	6004416058970	111
101	11	000000000000009241	PANIC MECHANIC - (DVD)OTH	X	ZDVD	6004416058970	111
101	10	000000000000009243	YOU MUST BE JOKING TOO - (DVD)OTH	X	ZDVD	6004416058956	111
101	11	000000000000009243	YOU MUST BE JOKING TOO - (DVD)OTH	X	ZDVD	6004416058956	111
101	10	000000000000009244	OH SCHUCKS SCHUSTER - (DVD) OTH	X	ZDVD	6004416058963	111
101	11	000000000000009244	OH SCHUCKS SCHUSTER - (DVD) OTH	X	ZDVD	6004416058963	111
101	10	000000000000009250	FORGIVENESS (DVD)OTH	X	ZDVD	6004416059304	111
101	11	000000000000009250	FORGIVENESS (DVD)OTH	X	ZDVD	6004416059304	111
101	10	000000000000009252	HELP EK IS 'N VIS (DVD) FLIP B	X	ZDVD	6004416064698	111
101	11	000000000000009252	HELP EK IS 'N VIS (DVD) FLIP B	X	ZDVD	6004416064698	111
101	10	000000000000009277	HUNGRY HEARTS (DVD)OTH	X	ZDVD	6004416059083	111
101	11	000000000000009277	HUNGRY HEARTS (DVD)OTH	X	ZDVD	6004416059083	111
101	10	000000000000009278	SPIDERMAN 2 (DVD) SPHE	X	ZDVD	6004416059441	111
101	10	000000000000009283	TEXAS CHAINSAW MASSACRE (DVD) OTH	X	ZDVD	6004416059021	111
101	11	000000000000009283	TEXAS CHAINSAW MASSACRE (DVD) OTH	X	ZDVD	6004416059021	111
